LatitudeMeasure,LongitudeMeasure,MonitoringLocationIdentifier,Elev_m
40.87986,-111.21614,UTAHDWQ_WQX-4926363,1957.13
40.95918,-111.11806,UTAHDWQ_WQX-4926370,2049.45
40.9618,-111.104,UTAHDWQ_WQX-4926380,2068.27
40.93884,-111.15518,UTAHDWQ_WQX-4926390,1976.2
40.91189,-111.40631,UTAHDWQ_WQX-4926400,1703.98
40.80579,-111.4367,UTAHDWQ_WQX-4926700,1833.9
40.74175,-111.47485,UTAHDWQ_WQX-4926740,1972.28
40.80967,-111.40742,UTAHDWQ_WQX-4926750,1786.62
40.72297,-111.47868,UTAHDWQ_WQX-4926800,1975.38
40.67384,-111.46445,UTAHDWQ_WQX-4926850,2024.11
40.65915,-111.50175,UTAHDWQ_WQX-4926948,2085.07
40.65915,-111.50175,UTAHDWQ_WQX-4926950,2085.07
40.79217,-111.40465,UTAHDWQ_WQX-4927010,1796.75
40.75291,-111.37375,UTAHDWQ_WQX-4927247,1842.1
40.75291,-111.37375,UTAHDWQ_WQX-4927250,1842.1
40.72471,-111.34151,UTAHDWQ_WQX-4927500,1887.43
40.70946,-111.29993,UTAHDWQ_WQX-4928005,1950.49
40.64488,-111.28405,UTAHDWQ_WQX-4928530,1970.24
40.63829,-111.26241,UTAHDWQ_WQX-4928540,2001.26
40.61637,-111.21153,UTAHDWQ_WQX-4929010,2088.19
40.63073,-111.18683,UTAHDWQ_WQX-4929100,2143.95
40.73078,-111.25491,UTAHDWQ_WQX-4929200,2014.59
40.78495,-111.15546,UTAHDWQ_WQX-4929490,2181.09
40.78745,-111.13352,UTAHDWQ_WQX-4929590,2209.57
39.33886,-110.96189,UTAHDWQ_WQX-4930524,1754.58
39.39191,-111.10267,UTAHDWQ_WQX-4930530,2002.91
39.73478,-110.87253,UTAHDWQ_WQX-4932810,1868.63
39.87607,-111.03739,UTAHDWQ_WQX-4932830,2207.97
39.8033,-110.35293,UTAHDWQ_WQX-4933380,1856.64
39.78477,-110.41823,UTAHDWQ_WQX-4933407,1946.57
40.02719,-109.73292,UTAHDWQ_WQX-4933500,1420.39
39.8843,-109.65125,UTAHDWQ_WQX-4933524,1522.15
39.66183,-109.55066,UTAHDWQ_WQX-4933532,1712.09
39.73478,-110.87253,UTAHDWQ_WQX-4933590,1868.63
39.97024,-109.41235,UTAHDWQ_WQX-4933770,1448.26
39.75338,-109.35532,UTAHDWQ_WQX-4933771,1703.42
39.99621,-110.4526,UTAHDWQ_WQX-4934240,2042.51
40.16357,-110.39237,UTAHDWQ_WQX-4934500,1676.01
40.16107,-110.38849,UTAHDWQ_WQX-4934508,1674.21
40.16107,-110.38849,UTAHDWQ_WQX-4934510,1674.21
40.15746,-110.40487,UTAHDWQ_WQX-4934530,1680.28
40.53948,-109.9546,UTAHDWQ_WQX-4935063,2041.11
40.53294,-109.92364,UTAHDWQ_WQX-4935070,2039.44
40.44414,-110.36424,UTAHDWQ_WQX-4935110,2108.73
40.60634,-110.12654,UTAHDWQ_WQX-4935160,2274.08
40.30021,-110.60205,UTAHDWQ_WQX-4935270,1887.89
